0, +2.2592e+00, +1.6565e+03, +7.7663e+02, +1.2422e+06, 1.992404e-02, 0.000000e+00, 3.495733e-02, 0.000000e+00,
100, +7.5658e-01, +5.3493e+02, +2.8855e+02, +4.0659e+05, 2.477079e-02, 0.000000e+00, 3.604771e-02, 0.000000e+00,
200, +5.4618e-01, +3.7702e+02, +2.0274e+02, +2.9892e+05, 2.350915e-02, 0.000000e+00, 4.029470e-02, 0.000000e+00,
300, +4.8215e-01, +2.8792e+02, +1.6641e+02, +2.3271e+05, 2.315937e-02, 0.000000e+00, 4.153098e-02, 0.000000e+00,
400, +3.1073e-01, +1.3856e+02, +9.4637e+01, +1.2039e+05, 2.315837e-02, 0.000000e+00, 4.153799e-02, 0.000000e+00,
500, +1.3664e-01, +6.4857e+01, +4.3851e+01, +5.7031e+04, 2.315869e-02, 0.000000e+00, 4.150260e-02, 0.000000e+00,
600, +6.2990e-02, +4.4273e+01, +1.3100e+01, +2.9057e+04, 2.315952e-02, 0.000000e+00, 4.151386e-02, 0.000000e+00,
700, +5.7444e-02, +4.7031e+01, +1.3845e+01, +2.3144e+04, 2.315755e-02, 0.000000e+00, 4.150295e-02, 0.000000e+00,
800, +6.9749e-02, +4.8344e+01, +1.3957e+01, +2.6001e+04, 2.315945e-02, 0.000000e+00, 4.151969e-02, 0.000000e+00,
900, +6.7978e-02, +4.4207e+01, +1.2884e+01, +2.8410e+04, 2.315914e-02, 0.000000e+00, 4.150299e-02, 0.000000e+00,
